,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
137,139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.24299621600001,Canada,North America,YSY,CYSY,282,1.0,4.0
138,140,Cape Dorset Airport,64.2300033569,-76.5267028809,Canada,North America,YTE,CYTE,164,0.0,6.0
139,141,Thompson Airport,55.80110168457031,-97.86419677734376,Canada,North America,YTH,CYTH,729,0.4666666666666667,13.0
140,142,CFB Trenton,44.118900299072266,-77.5280990600586,Canada,North America,YTR,CYTR,283,,
141,143,Timmins/Victor M. Power,48.569698333699996,-81.376701355,Canada,North America,YTS,CYTS,967,0.4,11.0
142,144,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,Canada,North America,YTZ,CYTZ,252,0.2948717948717949,28.0
143,145,Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625,Canada,North America,YUB,CYUB,15,0.0,2.0
144,146,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,Canada,North America,YUL,CYUL,118,0.21366181410974244,369.0
145,147,Repulse Bay Airport,66.5214004517,-86.22470092770003,Canada,North America,YUT,CYUT,80,0.6666666666666666,8.0
146,148,Hall Beach Airport,68.77610015869999,-81.2425,Canada,North America,YUX,CYUX,30,1.0,8.0
147,149,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,Canada,North America,YUY,CYUY,988,0.6666666666666666,10.0
148,150,La Ronge Airport,55.1514015198,-105.262001038,Canada,North America,YVC,CYVC,1242,,
149,151,Vermilion Airport,53.355800628699996,-110.823997498,Canada,North America,YVG,CYVG,2025,,
150,152,Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999,Canada,North America,YVM,CYVM,21,0.0,4.0
151,153,Val-d'Or Airport,48.0532989502,-77.7827987671,Canada,North America,YVO,CYVO,1107,0.2,14.0
152,154,Kuujjuaq Airport,58.09609985351562,-68.42690277099611,Canada,North America,YVP,CYVP,129,0.1111111111111111,19.0
153,155,Norman Wells Airport,65.28160095214844,-126.7979965209961,Canada,North America,YVQ,CYVQ,238,0.16666666666666666,12.0
154,156,Vancouver International Airport,49.193901061999995,-123.183998108,Canada,North America,YVR,CYVR,14,0.1968421052631579,315.0
155,157,Buffalo Narrows Airport,55.8418998718,-108.41799926799999,Canada,North America,YVT,CYVT,1423,,
156,158,Wiarton Airport,44.7458,-81.107201,Canada,North America,YVV,CYVV,729,,
157,159,Petawawa Airport,45.95220184326172,-77.31919860839844,Canada,North America,YWA,CYWA,427,,
158,160,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,Canada,North America,YWG,CYWG,783,0.2766798418972332,81.0
159,161,Wabush Airport,52.92190170288086,-66.86440277099611,Canada,North America,YWK,CYWK,1808,0.3090909090909091,31.0
160,162,Williams Lake Airport,52.1831016541,-122.054000854,Canada,North America,YWL,CYWL,3085,1.0,10.0
161,163,Wrigley Airport,63.20940017700195,-123.43699645996094,Canada,North America,YWY,CYWY,489,,
162,164,Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066001,Canada,North America,YXC,CYXC,3082,1.0,8.0
